epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0091,1.1452,2.3058,1.27712,0.00413,1,0.80692,0.4942,1.07409,3.02017,1.30952,0.00052,0.00052,0.00052
2,21.4014,1.19707,1.68632,1.30543,0.70635,0.61536,0.70318,0.42582,1.38554,2.63791,1.53072,0.00103901,0.00103901,0.00103901
3,32.6322,1.23852,1.5695,1.35551,0.72673,0.53488,0.65829,0.41567,1.38385,2.61118,1.54278,0.00153664,0.00153664,0.00153664
4,41.6915,1.254,1.49897,1.32696,0.80102,0.57364,0.71783,0.40202,1.46254,2.97603,1.68441,0.0018812,0.0018812,0.0018812
5,52.9593,1.22493,1.45788,1.31926,0.09953,0.58915,0.09225,0.05101,1.39827,11.6019,1.7054,0.0018416,0.0018416,0.0018416
6,63.7927,1.2135,1.35906,1.31836,0.8309,0.66667,0.75032,0.46975,1.20458,2.26861,1.48737,0.001802,0.001802,0.001802
7,73.451,1.19471,1.22054,1.28991,0.66327,0.5969,0.66463,0.41316,1.41424,1.73681,1.68855,0.0017624,0.0017624,0.0017624
8,85.2217,1.16223,1.15545,1.30558,0.84363,0.65891,0.80447,0.45886,1.43445,1.74606,1.62875,0.0017228,0.0017228,0.0017228
9,96.9573,1.12878,1.12201,1.26396,0.91968,0.81395,0.92514,0.54172,1.27938,1.52988,1.50293,0.0016832,0.0016832,0.0016832
10,107.282,1.11796,1.06234,1.26498,0.91519,0.76744,0.88236,0.58431,1.20948,1.23806,1.38609,0.0016436,0.0016436,0.0016436
11,117.749,1.1151,1.03043,1.2603,0.86874,0.76744,0.86336,0.59111,1.09328,1.08316,1.28617,0.001604,0.001604,0.001604
12,130.903,1.1113,1.02665,1.24825,0.92842,0.80438,0.92317,0.61991,1.1442,0.97916,1.41498,0.0015644,0.0015644,0.0015644
13,142.927,1.09504,1.01029,1.26069,0.85836,0.77519,0.87209,0.50415,1.34533,1.13507,1.488,0.0015248,0.0015248,0.0015248
14,151.065,1.04951,0.93389,1.22417,0.89749,0.82946,0.93605,0.60911,1.16333,0.95799,1.41847,0.0014852,0.0014852,0.0014852
15,162.69,1.08435,0.90342,1.26056,0.88321,0.93797,0.96458,0.67685,0.97911,0.77363,1.23471,0.0014456,0.0014456,0.0014456
16,174.002,1.06742,0.92133,1.22754,0.94661,0.85271,0.90859,0.58213,1.15636,0.88796,1.3837,0.001406,0.001406,0.001406
17,185.507,0.97285,0.77924,1.17683,0.93797,0.91473,0.95541,0.64961,1.08145,0.76928,1.32141,0.0013664,0.0013664,0.0013664
18,195.145,0.97295,0.80376,1.13395,0.91878,0.86822,0.94992,0.63821,1.15184,0.80756,1.3903,0.0013268,0.0013268,0.0013268
19,206.013,0.97479,0.81385,1.20821,0.88507,0.95514,0.97751,0.67466,1.05059,0.71669,1.29604,0.0012872,0.0012872,0.0012872
20,215.436,0.9562,0.79685,1.15349,0.91914,0.96922,0.98817,0.71686,0.94224,0.64946,1.19823,0.0012476,0.0012476,0.0012476
21,226.19,0.9354,0.77131,1.14286,0.94414,0.96899,0.9856,0.76584,0.89437,0.63347,1.18156,0.001208,0.001208,0.001208
22,237.976,0.93025,0.76499,1.14095,0.92452,0.90698,0.94365,0.66104,1.08413,0.76876,1.30326,0.0011684,0.0011684,0.0011684
23,247.785,0.89627,0.76597,1.13982,0.90682,0.98079,0.98793,0.74011,0.84393,0.6099,1.1404,0.0011288,0.0011288,0.0011288
24,257.361,0.90874,0.75632,1.14335,0.95675,0.91473,0.98197,0.74642,0.8662,0.60203,1.1078,0.0010892,0.0010892,0.0010892
25,269.236,0.90227,0.7006,1.15592,0.95345,0.95257,0.98991,0.72318,0.93606,0.57587,1.15566,0.0010496,0.0010496,0.0010496
26,279.308,0.86681,0.65581,1.11928,0.95574,0.93798,0.97265,0.66693,1.01877,0.6601,1.24996,0.00101,0.00101,0.00101
27,288.795,0.87141,0.67226,1.10154,0.94692,0.96807,0.98702,0.74515,0.85538,0.59027,1.13263,0.0009704,0.0009704,0.0009704
28,300.413,0.82682,0.67465,1.06239,0.96912,0.97306,0.99371,0.73196,0.87123,0.52075,1.12903,0.0009308,0.0009308,0.0009308
29,310.619,0.84749,0.63981,1.12572,0.96485,0.96124,0.98706,0.77457,0.77235,0.54449,1.08858,0.0008912,0.0008912,0.0008912
30,320.224,0.84272,0.66691,1.08454,0.95364,0.96124,0.98719,0.81635,0.70356,0.51183,1.05006,0.0008516,0.0008516,0.0008516
31,332.079,0.79428,0.62615,1.07155,0.98294,0.89318,0.98339,0.75296,0.81439,0.52536,1.09785,0.000812,0.000812,0.000812
